species,sid,species-level snp diversity,location
Species_309,0027,0.09954304954304961,East
Species_309,0010,0.4292592592592596,East
Species_309,0001,0.3477724741447892,East
Species_309,0011,0.3576730287256603,East
Species_309,0020,0.14711026077097528,East
Species_309,0019,0.18088946652009238,East
Species_309,0002,,East
Species_309,0005,0.08279604973213531,East
Species_309,107201700051,0.35716201131650005,East
Species_309,0022,,East
Species_309,0021,,East
Species_309,107201700033,0.31487769725559883,East
Species_309,107201700022,0.05850279922830187,East
Species_309,0006,,East
Species_309,0004,0.2241098656103198,East
Species_309,0013,0.02802360840863355,East
Species_309,0032,0.0718513677462338,East
Species_309,107201700056,,East
Species_309,107201700012,0.1894883725805635,East
Species_309,107201700013,,East
Species_309,107201700007,0.21819971983295083,East
Species_309,107201700017,0.16518493731886752,East
Species_309,107201700002,0.3637199901071651,East
Species_309,107201700010,0.2234060408339931,East
Species_309,107201700034,,East
Species_309,107201700036,0.22154912949769687,East
Species_309,107201700027,0.34624614679681803,East
Species_309,107201700023,0.20837564809491302,East
Species_309,107201700020,0.007048548432101742,East
Species_309,107201700037,0.3722149628574693,East
Species_309,107201700142,0.12603791693709754,East
Species_309,107201700018,0.4619231234650553,East
Species_309,107201700041,,East
Species_309,107201700024,0.25012089235150026,East
Species_309,107201700042,0.37719076164376597,East
Species_309,107201700040,0.01841906744953722,East
Species_309,107201700028,0.26894082032597433,East
Species_309,107201700055,0.04494136245006624,East
Species_309,107201700045,0.45516644012686286,East
Species_309,107201700038,0.0641018992174293,East
Species_309,107201700054,0.31838737980817394,East
Species_309,107201700044,0.0007109572847697671,East
Species_309,107201700061,0.38898611327813803,East
Species_309,107201700050,0.23994052274953775,East
Species_309,107201700032,,East
Species_309,107201700043,0.1973683694995052,East
Species_309,107201700074,0.2946263076959645,East
Species_309,107201700068,0.2075471333594598,East
Species_309,107201700046,0.2190707220682959,East
Species_309,107201700075,0.3954220513264671,East
Species_309,107201700058,,East
Species_309,107201700072,0.16112686699351392,East
Species_309,107201700071,0.24618266050801996,East
Species_309,107201700059,0.1416855792153388,East
Species_309,107201700077,,East
Species_309,107201700057,0.2214734167315459,East
Species_309,107201700069,,East
Species_309,107201700076,0.3766430011188545,East
Species_309,107201700085,,East
Species_309,107201700066,,East
Species_309,107201700065,,East
Species_309,107201700064,,East
Species_309,107201700096,0.22173746193022903,East
Species_309,107201700079,,East
Species_309,107201700062,0.13738716783229943,East
Species_309,107201700103,0.30208246169992103,East
Species_309,107201700099,,East
Species_309,107201700086,0.22221395783956563,East
Species_309,107201700081,,East
Species_309,107201700109,0.22617845587328714,East
Species_309,107201700091,0.09904644103369778,East
Species_309,107201700097,,East
Species_309,107201700073,0.21179299988448472,East
Species_309,107201700087,0.27620396143493786,East
Species_309,107201700115,0.2675865703619365,East
Species_309,107201700078,0.39609262019098096,East
Species_309,107201700083,0.3130978811631404,East
Species_309,107201700112,,East
Species_309,107201700104,0.12106949079985156,East
Species_309,107201700084,0.17171043444402162,East
Species_309,107201700111,0.39334669171165054,East
Species_309,107201700088,0.10653263391651066,East
Species_309,107201700090,0.3470789584722673,East
Species_309,107201700102,0.4341039805831255,East
Species_309,107201700113,,East
Species_309,107201700092,0.36221973194649515,East
Species_309,107201700124,,East
Species_309,107201700127,0.15995535129637983,East
Species_309,107201700118,,East
Species_309,107201700125,0.00752431433375265,East
Species_309,107201700110,0.14134890039443743,East
Species_309,107201700123,0.17043092761093348,East
Species_309,107201700116,0.09980109237182547,East
Species_309,107201700094,,East
Species_309,107201700121,0.32407474813545345,East
Species_309,107201700105,0.21081098063893314,East
Species_309,107201700119,,East
Species_309,107201700106,0.1971845798530557,East
Species_309,107201700120,,East
Species_309,107201700128,,East
Species_309,107201700131,,East
Species_309,107201700126,0.3085473081723581,East
Species_309,107201700132,0.37603579338596715,East
Species_309,107201700130,0.20882679581103378,East
Species_309,107201700240,0.16649368380754906,East
Species_309,107201700138,0.3561269642090163,East
Species_309,107201700134,0.46479841002700356,East
Species_309,107201700145,,East
Species_309,107201700144,0.35842325852279605,East
Species_309,107201700133,,East
Species_309,107201700135,0.2221268242823652,East
Species_309,107201700139,,East
Species_309,107201700129,0.1362631352242111,East
Species_309,107201700140,0.25678756169809336,East
Species_309,107201700153,0.1964353304451459,East
Species_309,107201700150,0.22217218658546786,East
Species_309,107201700143,,East
Species_309,107201700146,,East
Species_309,107201700154,0.08750928713001142,East
Species_309,107201700148,,East
Species_309,107201700152,0.0067374074538805,East
Species_309,107201700157,,East
Species_309,107201700158,0.2806379717585788,East
Species_309,107201700156,0.19127912162024627,East
Species_309,107201700160,0.23559499951622492,East
Species_309,107201700159,,East
Species_309,107201700161,,East
Species_309,107201700163,,East
Species_309,107201700165,0.25880150274864555,East
Species_309,107201700164,0.12726886366961127,East
Species_309,107201700162,,East
Species_309,107201700166,0.2453480412782811,East
Species_309,107201700167,0.24597186633178406,East
Species_309,107201700170,,East
Species_309,107201700174,0.32808730700095534,East
Species_309,107201700169,,East
Species_309,107201700171,0.26296542955741425,East
Species_309,107201700173,0.27578681966755714,East
Species_309,107201700176,,East
Species_309,107201700175,0.29487403876412327,East
Species_309,107201700177,0.3131790625959718,East
Species_309,107201700179,0.3209198668828738,East
Species_309,107201700180,0.3587630156876953,East
Species_309,107201700181,0.2170124643121568,East
Species_309,107201700185,0.2945689043135926,East
Species_309,107201700182,,East
Species_309,107201700188,,East
Species_309,107201700190,0.3199418585409085,East
Species_309,107201700184,0.40109366905958443,East
Species_309,107201700189,0.39889667093811526,East
Species_309,107201700193,0.3938398174650542,East
Species_309,107201700192,0.2772027472659773,East
Species_309,107201700194,,East
Species_309,107201700195,0.15737140866397728,East
Species_309,107201700197,0.24921806354855802,East
Species_309,107201700199,,East
Species_309,107201700196,0.18578619919376035,East
Species_309,107201700203,,East
Species_309,107201700200,,East
Species_309,107201700202,0.3103150622849844,East
Species_309,107201700205,0.21302031660040371,East
Species_309,107201700209,0.463905798624245,East
Species_309,107201700207,0.15596551123747368,East
Species_309,107201700211,,East
Species_309,107201700210,0.2178531041181002,East
Species_309,107201700208,0.19229939808193525,East
Species_309,107201700213,0.2692202939841062,East
Species_309,107201700214,0.1893641979449953,East
Species_309,107201700216,,East
Species_309,107201700212,0.10733937937829494,East
Species_309,107201700219,0.17145612698114368,East
Species_309,107201700215,0.3509837668881401,East
Species_309,107201700221,,East
Species_309,107201700217,0.27059048172553607,East
Species_309,107201700224,0.10721735346071865,East
Species_309,107201700223,0.29924312250231067,East
Species_309,107201700222,,East
Species_309,107201700220,,East
Species_309,107201700227,0.31925595163389353,East
Species_309,107201700226,0.16934718771513155,East
Species_309,107201700228,0.24835431263468444,East
Species_309,107201700230,0.21522334436468143,East
