Genome Cluster ID,Number of Non-redundant Genomes
Cluster_0,7
Cluster_1,4
Cluster_10,211
Cluster_100,491
Cluster_1000,1
Cluster_1001,1
Cluster_1002,4
Cluster_1003,2
Cluster_1004,2
Cluster_1005,1
Cluster_1006,1
Cluster_1007,12
Cluster_1008,11
Cluster_1009,11
Cluster_101,1
Cluster_1010,2
Cluster_1011,8
Cluster_1012,4
Cluster_1013,1
Cluster_1014,1
Cluster_1015,8
Cluster_1016,2
Cluster_1017,2
Cluster_1018,19
Cluster_1019,1
Cluster_102,24
Cluster_1020,5
Cluster_1021,1
Cluster_1022,2
Cluster_1023,13
Cluster_1024,2
Cluster_1025,12
Cluster_1026,4
Cluster_1027,5
Cluster_1028,8
Cluster_1029,1
Cluster_103,1
Cluster_1030,1
Cluster_1031,2
Cluster_1032,4
Cluster_1033,1
Cluster_1034,2
Cluster_1035,2
Cluster_1036,2
Cluster_1037,1
Cluster_1038,3
Cluster_1039,2
Cluster_104,1
Cluster_1040,2
Cluster_1041,2
Cluster_1042,1
Cluster_1043,2
Cluster_1044,2
Cluster_1045,1
Cluster_1046,4
Cluster_1047,2
Cluster_1048,1
Cluster_1049,1
Cluster_105,141
Cluster_1050,2
Cluster_1051,16
Cluster_1052,1
Cluster_1053,3
Cluster_1054,4
Cluster_1055,2
Cluster_1056,2
Cluster_1057,2
Cluster_1058,26
Cluster_1059,2
Cluster_106,12
Cluster_1060,1
Cluster_1061,1
Cluster_1062,1
Cluster_1063,5
Cluster_1064,6
Cluster_1065,2
Cluster_1066,10
Cluster_1067,7
Cluster_1068,12
Cluster_1069,70
Cluster_107,9
Cluster_1070,7
Cluster_1071,13
Cluster_1072,10
Cluster_1073,4
Cluster_1074,1
Cluster_1075,1
Cluster_1076,2
Cluster_1077,1
Cluster_1078,4
Cluster_1079,3
Cluster_108,1
Cluster_1080,3
Cluster_1081,1
Cluster_1082,3
Cluster_1083,3
Cluster_1084,2
Cluster_1085,3
Cluster_1086,4
Cluster_1087,5
Cluster_1088,2
Cluster_1089,1
Cluster_109,2
Cluster_1090,1
Cluster_1091,1
Cluster_1092,3
Cluster_1093,2
Cluster_1094,3
Cluster_1095,2
Cluster_1096,1
Cluster_1097,4
Cluster_1098,1
Cluster_1099,1
Cluster_11,1
Cluster_110,3
Cluster_1100,2
Cluster_1101,2
Cluster_1102,1
Cluster_1103,4
Cluster_1104,3
Cluster_1105,2
Cluster_1106,4
Cluster_1107,3
Cluster_1108,1
Cluster_1109,3
Cluster_111,395
Cluster_1110,2
Cluster_1111,1
Cluster_1112,2
Cluster_1113,2
Cluster_1114,2
Cluster_1115,2
Cluster_1116,2
Cluster_1117,3
Cluster_1118,2
Cluster_1119,2
Cluster_112,1180
Cluster_1120,1
Cluster_1121,1
Cluster_1122,7
Cluster_1123,1
Cluster_1124,4
Cluster_1125,1
Cluster_1126,2
Cluster_1127,5
Cluster_1128,1
Cluster_1129,3
Cluster_113,609
Cluster_1130,2
Cluster_1131,1
Cluster_1132,6
Cluster_1133,4
Cluster_1134,4
Cluster_1135,2
Cluster_1136,1
Cluster_1137,1
Cluster_1138,2
Cluster_1139,2
Cluster_114,607
Cluster_1140,1
Cluster_1141,3
Cluster_1142,1
Cluster_1143,1
Cluster_1144,2
Cluster_1145,2
Cluster_1146,3
Cluster_1147,1
Cluster_1148,1
Cluster_1149,2
Cluster_115,48
Cluster_1150,15
Cluster_1151,6
Cluster_1152,1
Cluster_1153,35
Cluster_1154,23
Cluster_1155,74
Cluster_1156,8
Cluster_1157,13
Cluster_1158,1
Cluster_1159,2
Cluster_116,46
Cluster_1160,4
Cluster_1161,1
Cluster_1162,3
Cluster_1163,1
Cluster_1164,2
Cluster_1165,4
Cluster_1166,2
Cluster_1167,1
Cluster_1168,1
Cluster_1169,3
Cluster_117,521
Cluster_1170,2
Cluster_1171,2
Cluster_1172,2
Cluster_1173,3
Cluster_1174,3
Cluster_1175,2
Cluster_1176,3
Cluster_1177,2
Cluster_1178,2
Cluster_1179,4
Cluster_118,306
Cluster_1180,1
Cluster_1181,11
Cluster_1182,27
Cluster_1183,1
Cluster_1184,1
Cluster_1185,1
Cluster_1186,1
Cluster_1187,2
Cluster_1188,2
Cluster_1189,1
Cluster_119,237
Cluster_1190,2
Cluster_1191,1
Cluster_1192,1
Cluster_1193,3
Cluster_1194,1
Cluster_1195,1
Cluster_1196,1
Cluster_1197,3
Cluster_1198,24
Cluster_1199,4
Cluster_12,1
Cluster_120,24
Cluster_1200,9
Cluster_1201,2
Cluster_1202,6
Cluster_1203,26
Cluster_1204,1
Cluster_1205,30
Cluster_1206,1
Cluster_1207,1
Cluster_1208,1
Cluster_1209,2
Cluster_121,315
Cluster_1210,4
Cluster_1211,6
Cluster_1212,1
Cluster_1213,18
Cluster_1214,1
Cluster_1215,1
Cluster_1216,10
Cluster_1217,2
Cluster_1218,1
Cluster_1219,3
Cluster_122,5
Cluster_1220,1
Cluster_1221,1
Cluster_1222,1
Cluster_1223,1
Cluster_1224,2
Cluster_1225,6
Cluster_1226,1
Cluster_1227,1
Cluster_1228,7
Cluster_1229,4
Cluster_123,252
Cluster_1230,7
Cluster_1231,1
Cluster_1232,1
Cluster_1233,1
Cluster_1234,2
Cluster_1235,1
Cluster_1236,3
Cluster_1237,1
Cluster_1238,2
Cluster_1239,4
Cluster_124,1
Cluster_1240,2
Cluster_1241,1
Cluster_1242,2
Cluster_1243,1
Cluster_1244,2
Cluster_1245,2
Cluster_1246,2
Cluster_1247,1
Cluster_1248,2
Cluster_1249,1
Cluster_125,1
Cluster_1250,2
Cluster_1251,2
Cluster_1252,2
Cluster_1253,2
Cluster_1254,2
Cluster_1255,2
Cluster_1256,2
Cluster_1257,2
Cluster_1258,1
Cluster_1259,1
Cluster_126,16
Cluster_1260,2
Cluster_1261,1
Cluster_1262,2
Cluster_1263,3
Cluster_1264,2
Cluster_1265,2
Cluster_1266,1
Cluster_1267,2
Cluster_1268,2
Cluster_1269,2
Cluster_127,1
Cluster_1270,1
Cluster_1271,1
Cluster_1272,1
Cluster_1273,2
Cluster_1274,2
Cluster_1275,11
Cluster_1276,2
Cluster_1277,1
Cluster_1278,2
Cluster_1279,1
Cluster_128,5
Cluster_1280,3
Cluster_1281,8
Cluster_1282,1
Cluster_1283,1
Cluster_1284,20
Cluster_1285,1
Cluster_1286,20
Cluster_1287,1
Cluster_1288,6
Cluster_1289,3
Cluster_129,36
Cluster_1290,9
Cluster_1291,61
Cluster_1292,38
Cluster_1293,20
Cluster_1294,1
Cluster_1295,5
Cluster_1296,34
Cluster_1297,92
Cluster_1298,49
Cluster_1299,3
Cluster_13,2
Cluster_130,154
Cluster_1300,3
Cluster_1301,14
Cluster_1302,2
Cluster_1303,1
Cluster_1304,1
Cluster_1305,1
Cluster_1306,1
Cluster_1307,1
Cluster_1308,32
Cluster_1309,1
Cluster_131,95
Cluster_1310,1
Cluster_1311,2
Cluster_1312,3
Cluster_1313,1
Cluster_1314,225
Cluster_1315,1483
Cluster_1316,2
Cluster_1317,6
Cluster_1318,10
Cluster_1319,13
Cluster_132,1262
Cluster_1320,7
Cluster_1321,1
Cluster_1322,1
Cluster_1323,1
Cluster_1324,30
Cluster_1325,20
