Phylum,OUR_PD
Actinobacteriota,51.184726
Firmicutes,103.8936614
Firmicutes_A,271.7525688
Fusobacteriota,4.359023815
Campylobacterota,8.545053932
Bacteroidota,70.04663419
Proteobacteria,46.98802976
Firmicutes_C,14.46454228
Desulfobacterota,4.080790198
Synergistota,2.774118431
Verrucomicrobiota,14.30613092
Firmicutes_B,3.653119009
Spirochaetota,7.85981788
Cyanobacteria,5.736095088
Deinococcota,0.967517742
Firmicutes_G,0.744566527
Chloroflexota,0.90783452
Fibrobacterota,0.695318273
Chlamydiota,1.254508995
Elusimicrobiota,1.03379093
Coprothermobacterota,1.27975452
Patescibacteria,1.031675957
Eremiobacterota,0.028929512
Total,625.5793866
