sid,mapping_rate,internal/external,location,catalog
ERR3451481,0.958838442573855,external,non-Chinese sample,UHGG
ERR3450993,0.9692965263334256,external,non-Chinese sample,UHGG
ERR3450868,0.9637055346338047,external,non-Chinese sample,UHGG
ERR3451041,0.9511067440991114,external,non-Chinese sample,UHGG
ERR3451294,0.9651071013956664,external,non-Chinese sample,UHGG
ERR3450912,0.9491712486449817,external,non-Chinese sample,UHGG
ERR3450719,0.9556186781384964,external,non-Chinese sample,UHGG
ERR3450834,0.9762629820792346,external,non-Chinese sample,UHGG
ERR3450888,0.967711126546298,external,non-Chinese sample,UHGG
ERR3451038,0.9531548512260183,external,non-Chinese sample,UHGG
ERR3451271,0.9505315650912532,external,non-Chinese sample,UHGG
ERR3451049,0.9649888551180831,external,non-Chinese sample,UHGG
ERR3451000,0.9539084201340853,external,non-Chinese sample,UHGG
ERR3451101,0.9671493363099556,external,non-Chinese sample,UHGG
ERR3451151,0.9634893795479481,external,non-Chinese sample,UHGG
ERR3451608,0.9370411287271911,external,non-Chinese sample,UHGG
ERR3451394,0.9660148493432104,external,non-Chinese sample,UHGG
ERR3451486,0.9620546025774424,external,non-Chinese sample,UHGG
ERR3451230,0.9833235680606014,external,non-Chinese sample,UHGG
ERR3451057,0.9638370519250764,external,non-Chinese sample,UHGG
ERR3451019,0.9571471628093368,external,non-Chinese sample,UHGG
ERR3451109,0.9490949550660835,external,non-Chinese sample,UHGG
ERR3451462,0.9685158770088078,external,non-Chinese sample,UHGG
ERR3450753,0.9557029494876492,external,non-Chinese sample,UHGG
ERR3450618,0.9465735878425361,external,non-Chinese sample,UHGG
ERR3451467,0.9401493695430565,external,non-Chinese sample,UHGG
ERR3450806,0.9569228900809419,external,non-Chinese sample,UHGG
ERR3451485,0.9043923829197947,external,non-Chinese sample,UHGG
ERR3451595,0.925607615605643,external,non-Chinese sample,UHGG
ERR3451200,0.9653311869591841,external,non-Chinese sample,UHGG
ERR3451298,0.9325587552266252,external,non-Chinese sample,UHGG
ERR3451227,0.9565292782187,external,non-Chinese sample,UHGG
ERR3451078,0.9551794597006121,external,non-Chinese sample,UHGG
ERR3450918,0.9629744212516218,external,non-Chinese sample,UHGG
ERR3451471,0.9524118426013717,external,non-Chinese sample,UHGG
ERR3450863,0.9678926668631012,external,non-Chinese sample,UHGG
ERR3450690,0.9404521433799392,external,non-Chinese sample,UHGG
ERR3450692,0.9863495064616195,external,non-Chinese sample,UHGG
ERR3451124,0.96038470336982,external,non-Chinese sample,UHGG
ERR3451218,0.9705607539388542,external,non-Chinese sample,UHGG
