Phylum,The number of species
Actinobacteriota,1184
Firmicutes,790
Firmicutes_A,1952
Fusobacteriota,44
Campylobacterota,55
Methanobacteriota,21
Bacteroidota,730
Proteobacteria,573
Firmicutes_C,164
Desulfobacterota,44
Synergistota,12
Verrucomicrobiota,68
Firmicutes_B,14
Spirochaetota,30
Cyanobacteria,62
Halobacteriota,6
Thermoplasmatota,18
Deinococcota,1
Firmicutes_G,1
Chloroflexota,1
Fibrobacterota,4
Chlamydiota,1
Elusimicrobiota,6
Coprothermobacterota,1
Patescibacteria,1
Eremiobacterota,2
