DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,Higher SNP-based alpha diversity in NC
COLOR,#2E8B57
FIELD_SHAPES,6
FIELD_LABELS,f1
LEGEND_TITLE,Higher SNP-based alpha diversity in NC
LEGEND_SCALE,1
DATA
cluster_1664_strain_0,1
cluster_1762_strain_0,1
cluster_21_strain_0,1
cluster_116_strain_0,1
cluster_1755_strain_0,1
cluster_123_strain_0,1
cluster_2039_strain_0,1
cluster_2041_strain_0,1
cluster_147_strain_0,1
cluster_2044_strain_0,1
cluster_113_strain_0,1
cluster_2366_strain_0,1
cluster_2400_strain_0,1
cluster_2071_strain_0,1
cluster_16_strain_0,1
cluster_121_strain_0,1
cluster_26_strain_0,1
cluster_139_strain_0,1
cluster_256_strain_0,1
cluster_265_strain_0,1
cluster_301_strain_0,1
cluster_284_strain_0,1
cluster_2974_strain_0,1
cluster_269_strain_0,1
cluster_328_strain_0,1
cluster_3633_strain_0,1
cluster_3867_strain_0,1
cluster_3645_strain_0,1
cluster_343_strain_0,1
cluster_369_strain_0,1
cluster_363_strain_0,1
cluster_3585_strain_0,1
cluster_37_strain_0,1
cluster_3646_strain_0,1
cluster_3995_strain_0,1
cluster_4116_strain_0,1
cluster_36_strain_0,1
cluster_4078_strain_0,1
cluster_3963_strain_0,1
cluster_3969_strain_0,1
cluster_4385_strain_0,1
cluster_3710_strain_0,1
cluster_3968_strain_0,1
cluster_445_strain_0,1
cluster_398_strain_0,1
cluster_3962_strain_0,1
cluster_423_strain_0,1
cluster_44_strain_0,1
cluster_4595_strain_0,1
cluster_457_strain_0,1
cluster_418_strain_0,1
cluster_529_strain_0,1
cluster_411_strain_0,1
cluster_575_strain_0,1
cluster_551_strain_0,1
cluster_525_strain_0,1
cluster_534_strain_0,1
cluster_479_strain_0,1
cluster_440_strain_0,1
cluster_419_strain_0,1
cluster_544_strain_0,1
cluster_492_strain_0,1
cluster_852_strain_0,1
cluster_96_strain_0,1
cluster_711_strain_0,1
cluster_549_strain_0,1
cluster_541_strain_0,1
cluster_548_strain_0,1
cluster_542_strain_0,1
cluster_85_strain_0,1
