Genome,Length (bp),N50,Completeness %,Contamination%,Species representative,MGnify accession
GUT_GENOME000001,3219614,47258,98.59,0.7,GUT_GENOME000001,MGYG-HGUT-00001
GUT_GENOME000004,4433090,109266,99.37,0.0,GUT_GENOME000004,MGYG-HGUT-00002
GUT_GENOME000008,3229507,158570,100.0,0.0,GUT_GENOME000008,MGYG-HGUT-00003
GUT_GENOME000010,3698872,90296,98.66,0.22,GUT_GENOME000010,MGYG-HGUT-00004
GUT_GENOME000017,3930422,350032,99.3,0.0,GUT_GENOME000017,MGYG-HGUT-00005
GUT_GENOME000020,2822523,121380,99.26,1.39,GUT_GENOME000020,MGYG-HGUT-00006
GUT_GENOME000021,2016163,124464,98.94,0.0,GUT_GENOME000021,MGYG-HGUT-00007
GUT_GENOME000022,1971706,87745,99.22,0.78,GUT_GENOME000022,MGYG-HGUT-00008
GUT_GENOME000024,2219785,31439,99.21,0.0,GUT_GENOME000024,MGYG-HGUT-00009
GUT_GENOME000029,2726398,74967,99.45,1.66,GUT_GENOME000029,MGYG-HGUT-00010
GUT_GENOME000030,2927352,523819,99.44,1.39,GUT_GENOME000030,MGYG-HGUT-00011
GUT_GENOME000031,4053578,610128,99.81,0.2,GUT_GENOME000031,MGYG-HGUT-00012
GUT_GENOME000035,6368131,251050,99.08,0.08,GUT_GENOME000035,MGYG-HGUT-00013
GUT_GENOME000046,4564490,140666,99.19,0.0,GUT_GENOME000046,MGYG-HGUT-00014
GUT_GENOME000047,4878624,102700,98.78,0.1,GUT_GENOME000047,MGYG-HGUT-00015
GUT_GENOME000049,2568483,108113,97.32,0.0,GUT_GENOME000049,MGYG-HGUT-00016
GUT_GENOME000054,2173077,71741,100.0,0.81,GUT_GENOME000054,MGYG-HGUT-00017
GUT_GENOME000055,3280206,193753,99.33,0.0,GUT_GENOME000055,MGYG-HGUT-00018
GUT_GENOME000057,4947645,130315,99.22,0.18,GUT_GENOME000057,MGYG-HGUT-00019
GUT_GENOME000064,1923676,39114,99.18,0.0,GUT_GENOME000064,MGYG-HGUT-00020
GUT_GENOME000067,1945991,80261,99.46,0.54,GUT_GENOME000067,MGYG-HGUT-00021
GUT_GENOME000092,3052215,117809,100.0,0.0,GUT_GENOME000092,MGYG-HGUT-00022
GUT_GENOME000094,2130721,135306,98.81,0.17,GUT_GENOME000094,MGYG-HGUT-00023
GUT_GENOME000104,3641596,215844,99.3,0.7,GUT_GENOME000104,MGYG-HGUT-00024
GUT_GENOME000106,2822365,300583,99.45,1.1,GUT_GENOME000106,MGYG-HGUT-00025
GUT_GENOME000109,2527394,27326,100.0,0.0,GUT_GENOME000109,MGYG-HGUT-00026
GUT_GENOME000111,2393568,109196,99.81,0.55,GUT_GENOME000111,MGYG-HGUT-00027
GUT_GENOME000113,2458424,229861,99.33,2.01,GUT_GENOME000113,MGYG-HGUT-00028
GUT_GENOME000122,4415867,139653,93.87,0.0,GUT_GENOME000122,MGYG-HGUT-00029
GUT_GENOME000128,3025028,183902,99.33,0.0,GUT_GENOME000128,MGYG-HGUT-00030
GUT_GENOME000131,3671861,160784,99.37,0.32,GUT_GENOME000131,MGYG-HGUT-00031
GUT_GENOME000133,6969460,157466,99.37,1.58,GUT_GENOME000133,MGYG-HGUT-00032
GUT_GENOME000136,3010183,91380,97.99,1.01,GUT_GENOME000136,MGYG-HGUT-00033
GUT_GENOME000137,2753524,287274,98.66,0.13,GUT_GENOME000137,MGYG-HGUT-00034
GUT_GENOME000139,3529520,286467,99.37,1.74,GUT_GENOME000139,MGYG-HGUT-00035
GUT_GENOME000141,2411069,209319,99.33,0.34,GUT_GENOME000141,MGYG-HGUT-00036
GUT_GENOME000147,2730778,53020,91.6,1.84,GUT_GENOME000147,MGYG-HGUT-00037
GUT_GENOME000149,3124251,145632,99.42,0.0,GUT_GENOME000149,MGYG-HGUT-00038
GUT_GENOME000152,2848015,96457,99.32,0.0,GUT_GENOME000152,MGYG-HGUT-00039
GUT_GENOME000159,2646768,135012,98.58,2.13,GUT_GENOME000159,MGYG-HGUT-00040
GUT_GENOME000166,3646129,101294,99.52,1.45,GUT_GENOME000166,MGYG-HGUT-00041
GUT_GENOME000187,3613213,163040,97.01,0.12,GUT_GENOME000187,MGYG-HGUT-00042
GUT_GENOME000189,4183526,66737,98.88,0.56,GUT_GENOME000189,MGYG-HGUT-00043
GUT_GENOME000192,4300419,240621,99.62,0.0,GUT_GENOME000192,MGYG-HGUT-00044
GUT_GENOME000196,2722755,118377,99.06,0.0,GUT_GENOME000196,MGYG-HGUT-00045
GUT_GENOME000198,2558115,75738,99.4,1.2,GUT_GENOME000198,MGYG-HGUT-00046
GUT_GENOME000200,3448644,142689,96.77,3.41,GUT_GENOME000200,MGYG-HGUT-00047
GUT_GENOME000202,2457223,342082,98.39,1.29,GUT_GENOME000202,MGYG-HGUT-00048
GUT_GENOME000203,3389399,262905,98.59,0.7,GUT_GENOME000203,MGYG-HGUT-00049
GUT_GENOME000205,3884358,70783,98.73,1.27,GUT_GENOME000205,MGYG-HGUT-00050
GUT_GENOME000215,3553289,93756,99.37,0.63,GUT_GENOME000215,MGYG-HGUT-00051
GUT_GENOME000219,3273900,90843,99.33,3.36,GUT_GENOME000219,MGYG-HGUT-00052
GUT_GENOME000220,2181706,125149,99.52,0.48,GUT_GENOME000220,MGYG-HGUT-00053
GUT_GENOME000221,5213724,61670,98.88,0.09,GUT_GENOME000221,MGYG-HGUT-00054
GUT_GENOME000224,3235237,72364,97.92,0.38,GUT_GENOME000224,MGYG-HGUT-00055
GUT_GENOME000225,3324928,106893,99.43,0.75,GUT_GENOME000225,MGYG-HGUT-00056
GUT_GENOME000231,4370344,81097,98.51,0.37,GUT_GENOME000231,MGYG-HGUT-00057
GUT_GENOME000232,3448177,187346,97.91,2.11,GUT_GENOME000232,MGYG-HGUT-00058
GUT_GENOME000236,2886876,164783,99.33,0.0,GUT_GENOME000236,MGYG-HGUT-00059
GUT_GENOME000237,3236506,437259,98.66,0.0,GUT_GENOME000237,MGYG-HGUT-00060
GUT_GENOME000243,2183776,43584,99.19,0.81,GUT_GENOME000243,MGYG-HGUT-00061
GUT_GENOME000245,3140383,445289,100.0,0.0,GUT_GENOME000245,MGYG-HGUT-00062
GUT_GENOME000246,4293327,393000,100.0,0.71,GUT_GENOME000246,MGYG-HGUT-00063
